1;;f;4;30;2
1;;f;4;35;2
1;;f;4;40;3
1;;f;4;45;3
1;;f;4;50;3
1;;f;4;99;3
1;;f;6;25;1
1;;f;6;30;2
1;;f;6;35;2
1;;f;6;40;3
1;;f;6;45;3
1;;f;6;50;3
1;;f;6;99;3
2;;f;4;30;2
2;;f;4;35;3
2;;f;4;40;3
2;;f;4;45;3
2;;f;4;50;4
2;;f;4;99;4
2;;f;6;30;2
2;;f;6;35;3
2;;f;6;40;3
2;;f;6;45;3
2;;f;6;50;3
2;;f;6;99;3
3;;f;4;30;3
3;;f;4;99;4
4;;f;4;30;3
4;;f;4;99;4
5;;f;4;30;3
5;;f;4;99;4
99;;f;4;99;4
1;;t;12;25;2
1;;t;12;30;3
1;;t;12;35;3
1;;t;12;40;3
1;;t;12;99;4
1;;t;14;25;2
1;;t;14;30;2
1;;t;14;35;2
1;;t;14;40;3
1;;t;14;99;4
1;;t;15;25;1
1;;t;15;30;1
1;;t;15;35;2
1;;t;15;40;3
1;;t;15;99;4
2;;t;15;25;2
2;;t;15;30;2
2;;t;15;35;3
2;;t;15;40;3
2;;t;15;99;4
3;t;t;12;25;2
3;t;t;12;30;2
3;t;t;12;35;3
3;t;t;12;40;3
3;t;t;12;99;4
3;;t;4;40;3
3;;t;4;99;4
4;;t;4;40;3
4;;t;4;99;4
5;;t;4;40;3
5;;t;4;99;4
6;;t;4;40;3
6;;t;4;99;4
